Date,ERA5_Land_snow_depth,ERA5_Land_snowfall_sun,ERA5_Land_snowmelt_sun,IMS,S1_dry
20180901,0,0,0,2,
20180902,0,0,0,2,
20180903,0,0,0,2,
20180904,0,0,0,2,
20180905,0,0,0,2,0
20180906,0,0,0,2,0
20180907,0,0,0,2,
20180908,0,0,0,2,
20180909,0,0,0,2,
20180910,0,0,0,2,
20180911,0,0,0,2,
20180912,0,0,0,2,0
20180913,0,0,0,2,
20180914,0,0,0,2,
20180915,0,0,0,2,
20180916,0,0,0,2,
20180917,0,0,0,2,0
20180918,0,0,0,2,0
20180919,0,0,0,2,
20180920,0,0,0,2,
20180921,0,0,0,2,
20180922,0,0,0,2,
20180923,0,0,0,2,
20180924,0,0,0,2,0
20180925,0,0,0,2,
20180926,0,0,0,2,
20180927,0,0,0,2,
20180928,0,0,0,2,
20180929,0,0,0,2,0
20180930,0,0,0,2,0
20181001,0,0,0,2,
20181002,0,0,0,2,
20181003,0,0,0,2,
20181004,0,0,0,2,
20181005,0,0,0,2,
20181006,0,0,0,2,0
20181007,0,2.65E-07,6.76E-08,2,
20181008,0,0,8.09E-08,2,
20181009,0,0,5.93E-08,2,
20181010,0,0,2.37E-08,2,
20181011,0,0,7.78E-09,2,0
20181012,0,0,2.08E-09,2,0
20181013,0,0,9.32E-11,2,
20181014,0,0,0,2,
20181015,0,0,0,2,
20181016,0,0,0,2,
20181017,0,0,0,2,
20181018,0,0,0,2,0
20181019,0,0,0,2,
20181020,0,0,0,2,
20181021,0,0,0,2,
20181022,0,0,0,2,
20181023,0,0,0,2,0
20181024,0,0,0,2,0
20181025,0,0,0,2,
20181026,0,0,0,2,
20181027,0,0,0,2,
20181028,0,0,0,2,
20181029,0,0,0,2,
20181030,0,0,0,2,0
20181031,0,0,0,2,
20181101,0,0,0,2,
20181102,0,0,0,2,
20181103,0,0,0,2,
20181104,0,0,0,2,0
20181105,0,0,0,2,0
20181106,0,0,0,2,
20181107,0,0,0,2,
20181108,0,0,0,2,
20181109,0,0,0,2,
20181110,0,0,0,2,
20181111,0,0,0,2,0
20181112,0,0,0,2,
20181113,0,0,0,2,
20181114,0,0,0,2,
20181115,0,0,0,2,
20181116,0,0,0,2,0
20181117,0,0,0,2,0
20181118,0,0,0,2,
20181119,0,0,0,2,
20181120,0,0,0,2,
20181121,0,0.001882823,6.79E-06,2,
20181122,0.084016524,0.01672795,0.000231566,2,
20181123,0.18938003,0.018537087,0.002343782,4,0.066223234
20181124,0.18296683,0.000102055,0.012160976,4,
20181125,0.13591363,1.16E-05,0.003186036,4,
20181126,0.1164009,1.93E-07,0.004240246,4,
20181127,0.09034459,0.00061723,0.002263826,4,
20181128,0.07964568,0.001916305,0.004287287,4,0.167287722
20181129,0.11147943,0.016472014,0.000181163,4,
20181130,0.21195975,0.006213121,0,4,
20181201,0.25553486,0.013679209,0,4,
20181202,0.33689696,0.002547515,0,4,
20181203,0.3347499,1.66E-05,0,4,
20181204,0.3326406,0.001368234,0,4,
20181205,0.35662013,0.006486653,0,4,
20181206,0.3748991,0.000299915,0,4,
20181207,0.36239475,1.01E-05,0,4,
20181208,0.34473014,1.66E-06,0,4,
20181209,0.32964313,6.57E-07,4.43E-05,4,
20181210,0.31714985,0.000394719,5.90E-06,4,
20181211,0.3106409,1.05E-05,2.05E-06,4,
20181212,0.2985422,1.25E-05,2.26E-05,4,
20181213,0.28998908,7.76E-09,0.001734205,4,
20181214,0.27566156,0,0.000242371,4,
20181215,0.27031875,0.000941533,0.000403325,4,
20181216,0.25863484,2.34E-06,0.00106352,4,
20181217,0.29951414,0.013321258,0.00062366,4,0.628272295
20181218,0.3222772,8.73E-05,3.54E-05,4,
20181219,0.3084555,8.79E-09,0.003345996,4,
20181220,0.28287992,0,0.002168826,4,
20181221,0.29149726,0.006396511,0.00264468,4,
20181222,0.29382867,1.59E-05,0.000629317,4,
20181223,0.2850534,0.001234857,0.000450653,4,0.725968003
20181224,0.29094845,0.007658181,0.001526558,4,
20181225,0.39995664,0.013475549,0.000146858,4,
20181226,0.40959007,2.36E-05,0,4,
20181227,0.4019782,6.25E-05,0,4,
20181228,0.3970334,1.07E-05,0,4,
20181229,0.39199257,0,0,4,
20181230,0.3808919,0,0.00010494,4,
20181231,0.3736039,0.000244113,0,4,
20190101,0.36921272,1.43E-05,0,4,
20190102,0.3649833,0,0,4,
20190103,0.36040726,0,0.000242518,4,1.003303766
20190104,0.35020477,0,0.000214047,4,
20190105,0.34297672,0.004412294,2.51E-06,4,
20190106,0.48494178,0.03009662,0,4,
20190107,0.7509038,0.033993114,4.89E-06,4,
20190108,0.7563645,7.65E-06,0.000693831,4,
20190109,0.7360563,0.011821971,0.001993662,4,
20190110,0.7587561,0.002311545,0.001103879,4,0.969098091
20190111,0.7269418,0,6.41E-07,4,
20190112,0.7025242,8.80E-07,0,4,
20190113,0.68538463,1.93E-06,0,4,
20190114,0.6729272,1.96E-05,0,4,
20190115,0.6811191,0.009049635,0,4,
20190116,0.8822872,0.036004044,0,4,
20190117,1.1256771,0.061525565,0.000289631,4,
20190118,1.30222,0.011254511,0,4,
20190119,1.233497,0.000205158,0.005344252,4,
