Date,ERA5_Land_snow_depth,ERA5_Land_snowfall_sun,ERA5_Land_snowmelt_sun,IMS,S1_dry
20180901,0,0,0,2,
20180902,0,0,0,2,
20180903,0,0,0,2,
20180904,0,0,0,2,
20180905,0,0,0,2,0
20180906,0,0,0,2,0
20180907,0,0,0,2,
20180908,0,0,0,2,
20180909,0,0,0,2,
20180910,0,0,0,2,
20180911,0,0,0,2,
20180912,0,0,0,2,0
20180913,0,0,0,2,
20180914,0,0,0,2,
20180915,0,0,0,2,
20180916,0,0,0,2,
20180917,0,0,0,2,0
20180918,0,0,0,2,0
20180919,0,0,0,2,
20180920,0,0,0,2,
20180921,0,0,0,2,
20180922,0,0,0,2,
20180923,0,0,0,2,
20180924,0,0,0,2,0
20180925,0,0,0,2,
20180926,0,0,0,2,
20180927,0,0,0,2,
20180928,0,0,0,2,
20180929,0,0,0,2,0
20180930,0,0,0,2,0
20181001,0,0,0,2,
20181002,0,0,0,2,
20181003,0,0,0,2,
20181004,0,0,0,2,
20181005,0,0,0,2,
20181006,0,0,0,2,0
20181007,0,8.50E-08,2.27E-08,2,
20181008,0,0,2.37E-08,2,
20181009,0,0,2.10E-08,2,
20181010,0,0,7.14E-09,2,
20181011,0,0,3.61E-09,2,0
20181012,0,0,0,2,0
20181013,0,0,0,2,
20181014,0,0,0,2,
20181015,0,0,0,2,
20181016,0,0,0,2,
20181017,0,0,0,2,
20181018,0,0,0,2,0
20181019,0,0,0,2,
20181020,0,0,0,2,
20181021,0,0,0,2,
20181022,0,0,0,2,
20181023,0,0,0,2,0
20181024,0,0,0,2,0
20181025,0,0,0,2,
20181026,0,0,0,2,
20181027,0,0,0,2,
20181028,0,0,0,2,
20181029,0,0,0,2,
20181030,0,0,0,2,0
20181031,0,0,0,2,
20181101,0,0,0,2,
20181102,0,0,0,2,
20181103,0,0,0,2,
20181104,0,0,0,2,0
20181105,0,0,0,2,0
20181106,0,0,0,2,
20181107,0,0,0,2,
20181108,0,0,0,2,
20181109,0,0,0,2,
20181110,0,0,0,2,
20181111,0,0,0,2,0
20181112,0,0,0,2,
20181113,0,0,0,2,
20181114,0,0,0,2,
20181115,0,0,0,2,
20181116,0,0,0,2,0
20181117,0,0,0,2,0
20181118,0,0,0,2,
20181119,0,0,0,2,
20181120,0,0,0,2,
20181121,0,0.00019934,1.50E-07,2,
20181122,0.0252986,0.005373863,0.000185165,2,
20181123,0.06444639,0.006877581,0.002516994,4,0.145773649
20181124,0.046549074,2.08E-05,0.005517733,4,
20181125,0.02903629,6.51E-05,0.000780149,4,
20181126,0.024076274,9.93E-08,0.000873466,4,
20181127,0.018876918,0.0001321,0.000595648,4,
20181128,0.016254177,0.000563133,0.000850813,4,0.180581868
20181129,0.03967647,0.009074589,0.000332437,4,
20181130,0.09074385,0.003266755,0.000234678,4,
20181201,0.10704257,0.006143794,1.26E-05,4,
20181202,0.13687852,0.000559351,1.19E-06,4,
20181203,0.13682131,2.82E-05,4.60E-05,4,
20181204,0.13964567,0.001482528,0,4,
20181205,0.16630079,0.005777157,0,4,0.300344467
20181206,0.1810211,0.000360452,2.20E-05,4,
20181207,0.17868982,4.54E-05,0.000360796,4,
20181208,0.16999929,3.79E-05,0.000196596,4,
20181209,0.1636152,4.16E-05,0.001054501,4,
20181210,0.1541255,9.31E-05,0.000695137,4,
20181211,0.14783408,3.33E-05,0.00053316,4,
20181212,0.1393082,4.75E-06,0.000986227,4,
20181213,0.130224,1.68E-07,0.001796335,4,
20181214,0.117386006,0,0.001807503,4,
20181215,0.10476309,0.000158868,0.001426772,4,
20181216,0.09427569,2.07E-07,0.002239132,4,
20181217,0.09687941,0.003268966,0.001000668,4,0.616768539
20181218,0.097581804,6.71E-05,0.001455751,4,
20181219,0.08694925,5.32E-07,0.002593203,4,
20181220,0.07129341,0,0.002374997,4,
20181221,0.06635415,0.002109809,0.001832887,4,
20181222,0.06286604,0.000169704,0.000791311,4,
20181223,0.05918072,0.000421758,0.000745275,4,0.723464429
20181224,0.058709145,0.001822777,0.001354022,4,
20181225,0.11479671,0.009701183,0.000133466,4,
20181226,0.13023357,3.89E-05,0.000159133,4,
20181227,0.12714003,0.000145355,1.53E-06,4,
20181228,0.12594879,1.75E-05,1.00E-05,4,
20181229,0.123752974,0,0.000917288,4,0.713554204
20181230,0.115397416,0,0.00126189,4,
20181231,0.108996145,0.000570553,0,4,
20190101,0.109028794,2.31E-05,0,4,
20190102,0.1070256,0,0.000171951,4,
20190103,0.10220219,9.70E-08,0.002037006,4,0.917515516
20190104,0.088930085,0,0.001622343,4,
20190105,0.07879707,0.001582524,0.000595747,4,
20190106,0.13355044,0.012795557,2.88E-05,4,
20190107,0.2914488,0.022100644,0.000485326,4,
20190108,0.29880974,1.65E-06,0.00079052,4,
20190109,0.28340247,0.001786269,0.002156572,4,
20190110,0.27331752,0.000313974,0.000997183,4,0.923169255
20190111,0.25896135,1.01E-06,0.000225279,4,0.730030894
20190112,0.25124434,6.90E-06,0.000588877,4,
20190113,0.2425061,5.93E-06,0.00021593,4,
20190114,0.23697129,1.30E-05,8.98E-05,4,
20190115,0.2403408,0.004201985,6.35E-05,4,
